Experiment,ReleaseDate,TaxID,ScientificName,species_tax_id,class_tax_id,strain_tax_id,species,LibraryLayout,Platform,Model,Run,SRAStudy,BioProject,ProjectID,Sample,BioSample,Submission,LibraryStrategy,LibrarySelection,LibrarySource,Body_Site,CenterName,InsertSize,InsertDev,SRA ID,Biosample,GEO Series,GEO Sample,PMID,biosample_strain,biosample_genotype,R1,R2,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,LibraryName,SampleType,,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,dbgap_study_accession,Consent,RunHash,ReadHash
vp_0012,31/01/2023 0:19,670,Vibrio parahaemolyticus,,,,Vibrio parahaemolyticus,PAIRED,ILLUMINA,Illumina HiSeq 2000,,SRP321982,PRJNA733855,733855,SRS9101698,SAMN19460350,SRA1238717,RNA-Seq,RANDOM,TRANSCRIPTOMIC,,SHANGHAI OCEAN UNIVERSITY,0,0,,,,,,,,s3://mybucket23443243/SRR14692750.1_1.fastq.gz,s3://mybucket23443243/SRR14692750.1_2.fastq.gz,10429975,3149852450,10429975,302,955,,C-3,simple,,C-3,,,,,,,no,,,,,,public,29AB3412BCC846B1413FB7A9EE62E1A3,439D25EB13CB863585895927CCF1C0C2
vp_0013,24/06/2021 18:36,670,Vibrio parahaemolyticus,,,,Vibrio parahaemolyticus,PAIRED,ILLUMINA,Illumina NovaSeq 6000,,SRP325521,PRJNA741202,741202,SRS9275804,SAMN19858105,SRA1250161,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,,JIANGNAN UNIVERSITY,0,0,,,,,,,,s3://mybucket23443243/SRR14907362.1_1.fastq.gz,s3://mybucket23443243/SRR14907362.1_2.fastq.gz,10702903,3210870900,10702903,300,1203,,WTLB,simple,,WTLB,,,,,,,no,,,,,,public,50D55B4F32974F2400B842C2007616AC,C76FEAD2FF45F410F779B1323590264F
vp_0014,24/06/2021 18:25,670,Vibrio parahaemolyticus,,,,Vibrio parahaemolyticus,PAIRED,ILLUMINA,Illumina NovaSeq 6000,,SRP325521,PRJNA741202,741202,SRS9275803,SAMN19858106,SRA1250161,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,,JIANGNAN UNIVERSITY,0,0,,,,,,,,s3://mybucket23443243/SRR14907361.1_1.fastq.gz,s3://mybucket23443243/SRR14907361.1_2.fastq.gz,16073044,4821913200,16073044,300,1804,,WTPB,simple,,WTPB,,,,,,,no,,,,,,public,DA3422AA40AA007FE29372B4AF1BD29A,84546DBBF2CE19646BCFA49E15FFBC37
vp_0015,8/08/2015 17:10,670,Vibrio parahaemolyticus,,,,Vibrio parahaemolyticus,PAIRED,ILLUMINA,Illumina HiSeq 2000,,SRP059990,PRJNA288417,288417,SRS973741,SAMN03799492,SRA281188,RNA-Seq,unspecified,TRANSCRIPTOMIC,,ZHEJIANG GONGSHANG UNIVERSITY,0,0,,,,,,,,s3://mybucket23443243/SRR2136634.1_1.fastq.gz,s3://mybucket23443243/SRR2136634.1_2.fastq.gz,14338517,2896380434,14338517,202,1772,,,simple,,Vp-Res,,,,,,,no,,,,,,public,5A112C45E1867ED1ECAE1CB6A522875B,C910C256CF183D28B417F1759812EED2
vp_0016,31/07/2016 0:00,670,Vibrio parahaemolyticus,,,,Vibrio parahaemolyticus,PAIRED,ILLUMINA,Illumina HiScanSQ,,SRP059990,PRJNA288417,288417,SRS973741,SAMN03799492,SRA274757,RNA-Seq,unspecified,TRANSCRIPTOMIC,,ZHEJIANG GONGSHANG UNIVERSITY,0,0,,,,,,,,s3://mybucket23443243/SRR2140570.1_1.fastq.gz,s3://mybucket23443243/SRR2140570.1_2.fastq.gz,14338517,2896380434,14338517,202,1772,,,simple,,Vp-Res,,,,,,,no,,,,,,public,5A112C45E1867ED1ECAE1CB6A522875B,C910C256CF183D28B417F1759812EED2
vp_0017,31/10/2022 0:10,670,Vibrio parahaemolyticus,,,,Vibrio parahaemolyticus,PAIRED,ILLUMINA,Illumina NovaSeq 6000,,SRP333457,PRJNA756517,756517,SRS9846807,SAMN20867570,SRA1281139,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,,JIANGNAN UNIVERSITY,0,0,,,,,,,,s3://mybucket23443243/SRR15534966.1_1.fastq.gz,s3://mybucket23443243/SRR15534966.1_2.fastq.gz,10702903,3210870900,10702903,300,1203,,VPLB,simple,,VPLB,,,,,,,no,,,,,,public,50D55B4F32974F2400B842C2007616AC,C76FEAD2FF45F410F779B1323590264F
vp_0018,31/10/2022 0:10,670,Vibrio parahaemolyticus,,,,Vibrio parahaemolyticus,PAIRED,ILLUMINA,Illumina NovaSeq 6000,,SRP333457,PRJNA756517,756517,SRS9846806,SAMN20867571,SRA1281139,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,,JIANGNAN UNIVERSITY,0,0,,,,,,,,s3://mybucket23443243/SRR15534965.1_1.fastq.gz,s3://mybucket23443243/SRR15534965.1_2.fastq.gz,12456540,3736962000,12456540,300,1342,,VPAMP,simple,,VPAMP,,,,,,,no,,,,,,public,DFA914236CDB03FDF5027550E3D4293B,07D3732ED3217D26C0691B5B619F2D84
vp_0019,10/10/2022 0:08,670,Vibrio parahaemolyticus,,,,Vibrio parahaemolyticus,PAIRED,ILLUMINA,Illumina HiSeq 2000,,SRP339423,PRJNA767551,767551,SRS10376585,SAMN21907745,SRA1303255,RNA-Seq,RANDOM,TRANSCRIPTOMIC,,SHANGHAI OCEAN UNIVERSITY,0,0,,,,,,,,s3://mybucket23443243/SRR16123292.1_1.fastq.gz,s3://mybucket23443243/SRR16123292.1_2.fastq.gz,10856256,3278589312,10856256,302,973,,B-1,simple,,B-1,,,,,,,no,,,,,,public,E8BDB688BF18AD1BAC3F40FC558E3491,9376CEFA19E0630BDEBB09A5FD14AC33
vp_0020,10/10/2022 0:08,670,Vibrio parahaemolyticus,,,,Vibrio parahaemolyticus,PAIRED,ILLUMINA,Illumina HiSeq 2000,,SRP339423,PRJNA767551,767551,SRS10376587,SAMN21907746,SRA1303255,RNA-Seq,RANDOM,TRANSCRIPTOMIC,,SHANGHAI OCEAN UNIVERSITY,0,0,,,,,,,,s3://mybucket23443243/SRR16123291.1_1.fastq.gz,s3://mybucket23443243/SRR16123291.1_2.fastq.gz,13892715,4195599930,13892715,302,1245,,B-4,simple,,B-4,,,,,,,no,,,,,,public,9280EFB6B4A88900E03FEF75CCA9B784,AE0FB51D9515042020D1A47E55D7BCCC
vp_0021,10/10/2022 0:08,670,Vibrio parahaemolyticus,,,,Vibrio parahaemolyticus,PAIRED,ILLUMINA,Illumina HiSeq 2000,,SRP339423,PRJNA767551,767551,SRS10376589,SAMN21907747,SRA1303255,RNA-Seq,RANDOM,TRANSCRIPTOMIC,,SHANGHAI OCEAN UNIVERSITY,0,0,,,,,,,,s3://mybucket23443243/SRR16123290.1_1.fastq.gz,s3://mybucket23443243/SRR16123290.1_2.fastq.gz,14307674,4320917548,14307674,302,1277,,C-1,simple,,C-1,,,,,,,no,,,,,,public,7216BBE8544EF370F601236FF147BCA4,13843B229D4CE15689C8D8DA568A4D48
vp_0022,10/10/2022 0:08,670,Vibrio parahaemolyticus,,,,Vibrio parahaemolyticus,PAIRED,ILLUMINA,Illumina HiSeq 2000,,SRP339423,PRJNA767551,767551,SRS10376588,SAMN21907748,SRA1303255,RNA-Seq,RANDOM,TRANSCRIPTOMIC,,SHANGHAI OCEAN UNIVERSITY,0,0,,,,,,,,s3://mybucket23443243/SRR16123289.1_1.fastq.gz,s3://mybucket23443243/SRR16123289.1_2.fastq.gz,13973243,4219919386,13973243,302,1239,,C-4,simple,,C-4,,,,,,,no,,,,,,public,C748752E53CA28AA8C401B552CA6DD32,4CA6EBCE183D876792EFE4F9392F7F8C
vp_0023,28/10/2021 11:56,670,Vibrio parahaemolyticus,,,,Vibrio parahaemolyticus,SINGLE,ILLUMINA,MinION,,SRP343567,PRJNA775855,775855,SRS10754684,SAMN22630215,SRA1318944,RNA-Seq,Hybrid Selection,TRANSCRIPTOMIC,,OSAKA UNIVERSTIY,0,0,,,,,,,,s3://mybucket23443243/SRR16608238.1.fastq.gz,,1740000,1519514091,0,873,1056,,LB1_DRS,simple,,LB1,,,,,,,no,,,,,,public,FF489A2539E6144A56D9931AE77BD1B3,CA78D34D05EFD6CCCF51391794D442C2
vp_0024,28/10/2021 11:56,670,Vibrio parahaemolyticus,,,,Vibrio parahaemolyticus,SINGLE,ILLUMINA,MinION,,SRP343567,PRJNA775855,775855,SRS10754685,SAMN22630216,SRA1318944,RNA-Seq,Hybrid Selection,TRANSCRIPTOMIC,,OSAKA UNIVERSTIY,0,0,,,,,,,,s3://mybucket23443243/SRR16608237.1.fastq.gz,,1140000,1002194957,0,879,698,,LB2_DRS,simple,,LB2,,,,,,,no,,,,,,public,A41D7F71DF3441B9D829E714D136E444,B39B1A81C02045DEB1D056167DC301E0
vp_0025,28/10/2021 11:56,670,Vibrio parahaemolyticus,,,,Vibrio parahaemolyticus,SINGLE,ILLUMINA,MinION,,SRP343567,PRJNA775855,775855,SRS10754686,SAMN22630217,SRA1318944,RNA-Seq,Hybrid Selection,TRANSCRIPTOMIC,,OSAKA UNIVERSTIY,0,0,,,,,,,,s3://mybucket23443243/SRR16608236.1.fastq.gz,,1035050,851534610,0,822,597,,Bile1_DRS,simple,,Bile1,,,,,,,no,,,,,,public,D5304F1AB4D9C57CC1EC8BC2E883E4E7,4DF69FBA756BD9D382EDBFB57E4A434F
vp_0026,28/10/2021 11:56,670,Vibrio parahaemolyticus,,,,Vibrio parahaemolyticus,SINGLE,ILLUMINA,MinION,,SRP343567,PRJNA775855,775855,SRS10754687,SAMN22630218,SRA1318944,RNA-Seq,Hybrid Selection,TRANSCRIPTOMIC,,OSAKA UNIVERSTIY,0,0,,,,,,,,s3://mybucket23443243/SRR16608235.1.fastq.gz,,1532000,1468584565,0,958,1027,,Bile2_DRS,simple,,Bile2,,,,,,,no,,,,,,public,3B60CBF7327113D1447B7A5299DD636F,F3863375E02F4D5B64359E8E0BB3A010
vp_0027,1/08/2022 0:06,670,Vibrio parahaemolyticus,,,,Vibrio parahaemolyticus,PAIRED,ILLUMINA,Illumina HiSeq 4000,,SRP362824,PRJNA813199,813199,SRS12211182,SAMN26455239,SRA1382088,RNA-Seq,PCR,TRANSCRIPTOMIC,,OCEAN UNIVERSITY OF CHINA,0,0,,,,,,,,s3://mybucket23443243/SRR18260385.1_1.fastq.gz,s3://mybucket23443243/SRR18260385.1_2.fastq.gz,38590,23231180,38590,602,11,,VP_0.1_1,simple,,SUB11164453,,,,,,,no,,,,,,public,F92A97A85F596363F6634029BC5415B6,86CE9DBAC3C1EEB9F934815A900AA214
vp_0028,1/08/2022 0:06,670,Vibrio parahaemolyticus,,,,Vibrio parahaemolyticus,PAIRED,ILLUMINA,Illumina HiSeq 4000,,SRP362824,PRJNA813199,813199,SRS12211182,SAMN26455239,SRA1382088,RNA-Seq,PCR,TRANSCRIPTOMIC,,OCEAN UNIVERSITY OF CHINA,0,0,,,,,,,,s3://mybucket23443243/SRR18260384.1_1.fastq.gz,s3://mybucket23443243/SRR18260384.1_2.fastq.gz,56892,34248984,56892,602,17,,VP_0.1_2,simple,,SUB11164453,,,,,,,no,,,,,,public,01B8416F757A89313F78B0D9621D7F51,239E230268F574387EE369778DFC33D4
vp_0029,1/08/2022 0:06,670,Vibrio parahaemolyticus,,,,Vibrio parahaemolyticus,PAIRED,ILLUMINA,Illumina HiSeq 4000,,SRP362824,PRJNA813199,813199,SRS12211182,SAMN26455239,SRA1382088,RNA-Seq,PCR,TRANSCRIPTOMIC,,OCEAN UNIVERSITY OF CHINA,0,0,,,,,,,,s3://mybucket23443243/SRR18260383.1_1.fastq.gz,s3://mybucket23443243/SRR18260383.1_2.fastq.gz,32732,19704664,32732,602,9,,VP_0.1_3,simple,,SUB11164453,,,,,,,no,,,,,,public,095A558D6C1B0C05A9891DB51D9C2B0C,15723D54D987F483A4EACA6E281FF982
vp_0030,1/08/2022 0:06,670,Vibrio parahaemolyticus,,,,Vibrio parahaemolyticus,PAIRED,ILLUMINA,Illumina HiSeq 4000,,SRP362824,PRJNA813199,813199,SRS12211182,SAMN26455239,SRA1382088,RNA-Seq,PCR,TRANSCRIPTOMIC,,OCEAN UNIVERSITY OF CHINA,0,0,,,,,,,,s3://mybucket23443243/SRR18260382.1_1.fastq.gz,s3://mybucket23443243/SRR18260382.1_2.fastq.gz,66411,39979422,66411,602,19,,VP_10_1,simple,,SUB11164453,,,,,,,no,,,,,,public,5BE1AC2CF92E3DCE6B8FC7B5CDB4B9C7,99E3315A6016C7C27656C3BCE202978F
vp_0031,1/08/2022 0:06,670,Vibrio parahaemolyticus,,,,Vibrio parahaemolyticus,PAIRED,ILLUMINA,Illumina HiSeq 4000,,SRP362824,PRJNA813199,813199,SRS12211182,SAMN26455239,SRA1382088,RNA-Seq,PCR,TRANSCRIPTOMIC,,OCEAN UNIVERSITY OF CHINA,0,0,,,,,,,,s3://mybucket23443243/SRR18260381.1_1.fastq.gz,s3://mybucket23443243/SRR18260381.1_2.fastq.gz,30559,18396518,30559,602,9,,VP_10_2,simple,,SUB11164453,,,,,,,no,,,,,,public,FD63132547BAA92721CD7EAEC38B7B5D,576A5AE0F093CCCFAC010ABC2B22C21E
vp_0032,1/08/2022 0:06,670,Vibrio parahaemolyticus,,,,Vibrio parahaemolyticus,PAIRED,ILLUMINA,Illumina HiSeq 4000,,SRP362824,PRJNA813199,813199,SRS12211182,SAMN26455239,SRA1382088,RNA-Seq,PCR,TRANSCRIPTOMIC,,OCEAN UNIVERSITY OF CHINA,0,0,,,,,,,,s3://mybucket23443243/SRR18260380.1_1.fastq.gz,s3://mybucket23443243/SRR18260380.1_2.fastq.gz,41076,24727752,41076,602,12,,VP_10_3,simple,,SUB11164453,,,,,,,no,,,,,,public,445BEE42B3634B99ABA35AD5E647499E,4AA940DAC2C0E7B77921715EE7AF8905
vp_0033,1/08/2022 0:06,670,Vibrio parahaemolyticus,,,,Vibrio parahaemolyticus,PAIRED,ILLUMINA,Illumina HiSeq 4000,,SRP362824,PRJNA813199,813199,SRS12211182,SAMN26455239,SRA1382088,RNA-Seq,PCR,TRANSCRIPTOMIC,,OCEAN UNIVERSITY OF CHINA,0,0,,,,,,,,s3://mybucket23443243/SRR18260379.1_1.fastq.gz,s3://mybucket23443243/SRR18260379.1_2.fastq.gz,35788,21544376,35788,602,11,,VP_20_1,simple,,SUB11164453,,,,,,,no,,,,,,public,5404D0BE7CD071C06FBBD6B1760C6BBA,1D1BC19543967354225593C42F59F7F4
vp_0034,1/08/2022 0:06,670,Vibrio parahaemolyticus,,,,Vibrio parahaemolyticus,PAIRED,ILLUMINA,Illumina HiSeq 4000,,SRP362824,PRJNA813199,813199,SRS12211182,SAMN26455239,SRA1382088,RNA-Seq,PCR,TRANSCRIPTOMIC,,OCEAN UNIVERSITY OF CHINA,0,0,,,,,,,,s3://mybucket23443243/SRR18260378.1_1.fastq.gz,s3://mybucket23443243/SRR18260378.1_2.fastq.gz,43942,26453084,43942,602,13,,VP_20_2,simple,,SUB11164453,,,,,,,no,,,,,,public,AF80ABCD90BED1BB75C40AC0257A760D,E12BDEF241E20175099099CA6ACC5D6A
vp_0035,1/08/2022 0:06,670,Vibrio parahaemolyticus,,,,Vibrio parahaemolyticus,PAIRED,ILLUMINA,Illumina HiSeq 4000,,SRP362824,PRJNA813199,813199,SRS12211182,SAMN26455239,SRA1382088,RNA-Seq,PCR,TRANSCRIPTOMIC,,OCEAN UNIVERSITY OF CHINA,0,0,,,,,,,,s3://mybucket23443243/SRR18260377.1_1.fastq.gz,s3://mybucket23443243/SRR18260377.1_2.fastq.gz,42773,25749346,42773,602,12,,VP_20_3,simple,,SUB11164453,,,,,,,no,,,,,,public,0B9CB225F5CB7162F25BFC453174FB7D,74A5F2792E924ECBECD32163D5925E41
vp_0036,20/06/2022 0:01,670,Vibrio parahaemolyticus,,,,Vibrio parahaemolyticus,PAIRED,ILLUMINA,Illumina MiSeq,,SRP370438,PRJNA827017,827017,SRS12621121,SAMN27594399,SRA1404877,RNA-Seq,PCR,TRANSCRIPTOMIC,,SHANGHAI OCEAN UNIVERSITY,0,0,,,,,,,,s3://mybucket23443243/SRR18767584.1_1.fastq.gz,s3://mybucket23443243/SRR18767584.1_2.fastq.gz,16168225,4850467500,16168225,300,1451,,VP33847,simple,,VP33847,,,,,,,no,,,,,,public,D468BC8D2B9615E4AFDD689793BBAF3E,B7C4F3294C1444173F731B733B7AB8B8
vp_0037,20/06/2022 0:01,670,Vibrio parahaemolyticus,,,,Vibrio parahaemolyticus,PAIRED,ILLUMINA,Illumina MiSeq,,SRP370438,PRJNA827017,827017,SRS12621122,SAMN27594400,SRA1404877,RNA-Seq,PCR,TRANSCRIPTOMIC,,SHANGHAI OCEAN UNIVERSITY,0,0,,,,,,,,s3://mybucket23443243/SRR18767583.1_1.fastq.gz,s3://mybucket23443243/SRR18767583.1_2.fastq.gz,18568426,5570527800,18568426,300,1683,,VP33847-BF,simple,,VP33847-BF,,,,,,,no,,,,,,public,760B31403F2D28F86267AC2211766489,E2B34EE30294A5A43CCFECFDD3A210E2
vp_0038,24/04/2022 0:00,670,Vibrio parahaemolyticus,,,,Vibrio parahaemolyticus,PAIRED,ILLUMINA,Illumina HiSeq 2500,,SRP370667,PRJNA827580,827580,SRS12632754,SAMN27613914,SRA1405590,RNA-Seq,cDNA,TRANSCRIPTOMIC,,YANGZHOU UNIVERSITY,0,0,,,,,,,,s3://mybucket23443243/SRR18779889.1_1.fastq.gz,s3://mybucket23443243/SRR18779889.1_2.fastq.gz,25050772,7515231600,25050772,300,2541,,GSM6046834,simple,,GSM6046834,,,,,,,no,,,,,,public,68029869AB533C4BD14E43A64BA4F31D,3138F0DF6DAC03FDFFBA94E1E58D8CF7
vp_0039,24/04/2022 0:00,670,Vibrio parahaemolyticus,,,,Vibrio parahaemolyticus,PAIRED,ILLUMINA,Illumina HiSeq 2500,,SRP370667,PRJNA827580,827580,SRS12632756,SAMN27613911,SRA1405590,RNA-Seq,cDNA,TRANSCRIPTOMIC,,YANGZHOU UNIVERSITY,0,0,,,,,,,,s3://mybucket23443243/SRR18779888.1_1.fastq.gz,s3://mybucket23443243/SRR18779888.1_2.fastq.gz,26375602,7912680600,26375602,300,2709,,GSM6046835,simple,,GSM6046835,,,,,,,no,,,,,,public,FD81AF9EADC45A7EF0832B51D5BCB1A3,25F43A9CEDD4238743CF97DA52491D10
vp_0040,24/04/2022 0:00,670,Vibrio parahaemolyticus,,,,Vibrio parahaemolyticus,PAIRED,ILLUMINA,Illumina HiSeq 2500,,SRP370667,PRJNA827580,827580,SRS12632755,SAMN27613908,SRA1405590,RNA-Seq,cDNA,TRANSCRIPTOMIC,,YANGZHOU UNIVERSITY,0,0,,,,,,,,s3://mybucket23443243/SRR18779887.1_1.fastq.gz,s3://mybucket23443243/SRR18779887.1_2.fastq.gz,20773574,6232072200,20773574,300,2106,,GSM6046836,simple,,GSM6046836,,,,,,,no,,,,,,public,E5E214E4688CE9846B80A0C8F23BE2F5,A8155B6F6B519D06FE8000F99EDFDD46
vp_0041,24/04/2022 0:00,670,Vibrio parahaemolyticus,,,,Vibrio parahaemolyticus,PAIRED,ILLUMINA,Illumina HiSeq 2500,,SRP370667,PRJNA827580,827580,SRS12632757,SAMN27613905,SRA1405590,RNA-Seq,cDNA,TRANSCRIPTOMIC,,YANGZHOU UNIVERSITY,0,0,,,,,,,,s3://mybucket23443243/SRR18779886.1_1.fastq.gz,s3://mybucket23443243/SRR18779886.1_2.fastq.gz,8278232,2483469600,8278232,300,865,,GSM6046837,simple,,GSM6046837,,,,,,,no,,,,,,public,354E078CA3CBF146466D1F8C89BDBA14,50AF8AACB4ED4ED88EAB77ABB289D822
